id_anonimo_emp;anio;ciiu;descciiu;sector;ubigeo;departamento;provincia;distrito;tamanio_emp;valor_estimado_minimo_venta;valor_estimado_maximo_venta;exporta;valor_estimado_minimo_fob_dolar;valor_estimado_maximo_fob_dolar;fec_creacion
5C0CDC20E33BA66B93953EF2C18696E7;2023;1533;ELABORACION DE ALIMENTOS PREPARADOS PARA ANIMALES;MANUFACTURA;110501;ICA;PISCO;PISCO;MICRO;0;742500;NO;0;0;20241231
85BA39184E224AA271BEF4AAC3A353DF;2023;1551;"DESTILACION, RECTIFICACION Y MEZCLA DE BEBIDAS ALCOHOLICAS; PRODUCCION DE ALCOHOL ETILICO A PARTIR DE SUSTANCIAS FERMENTADAS";MANUFACTURA;110301;ICA;NAZCA;NAZCA;PEQUENA;742500;8415000;NO;0;0;20241231
9BF2B6C73C695855752955F4C86DA19F;2023;1552;ELABORACION DE VINOS;MANUFACTURA;110112;ICA;ICA;SUBTANJALLA;MICRO;0;742500;NO;0;0;20241231
B67F85093C5AE5E77A55862A561B564F;2023;1552;ELABORACION DE VINOS;MANUFACTURA;110206;ICA;CHINCHA;GROCIO PRADO;PEQUENA;742500;8415000;SI;0;97697;20241231
35C2F66DB07E672FA685B0E752124B70;2023;1552;ELABORACION DE VINOS;MANUFACTURA;110201;ICA;CHINCHA;CHINCHA ALTA;MICRO;0;742500;NO;0;0;20241231
CEAF78BEEAC6A478563591E5AF2504F5;2023;1552;ELABORACION DE VINOS;MANUFACTURA;110210;ICA;CHINCHA;SUNAMPE;MICRO;0;742500;NO;0;0;20241231
C98F39D07CBE075AFEED174AAD2DCCF1;2023;1552;ELABORACION DE VINOS;MANUFACTURA;110110;ICA;ICA;SAN JUAN BAUTISTA;MICRO;0;742500;NO;0;0;20241231
05677C4BD60B0CA1B2E408A32A57FE9D;2023;1552;ELABORACION DE VINOS;MANUFACTURA;110210;ICA;CHINCHA;SUNAMPE;MICRO;0;742500;NO;0;0;20241231
8A9D810D5FABE02C9D4EC091DE2F333C;2023;1552;ELABORACION DE VINOS;MANUFACTURA;110301;ICA;NAZCA;NAZCA;MICRO;0;742500;NO;0;0;20241231
7B238AAF12ED7843A8CC495487856C3D;2023;1552;ELABORACION DE VINOS;MANUFACTURA;110101;ICA;ICA;ICA;MICRO;0;742500;NO;0;0;20241231
B7F8FAD4CCD87928032E172D861CF1D1;2023;1552;ELABORACION DE VINOS;MANUFACTURA;110101;ICA;ICA;ICA;MICRO;0;742500;NO;0;0;20241231
1B152FA013C2D042F77FA02A835F6727;2023;1549;ELABORACION DE OTROS PRODUCTOS ALIMENTICIOS NCP;MANUFACTURA;110101;ICA;ICA;ICA;PEQUENA;742500;8415000;NO;0;0;20241231
F1CE16E12178733392A030BC1E5F252F;2023;1531;ELABORACION DE PRODUCTOS DE MOLINERIA;MANUFACTURA;110206;ICA;CHINCHA;GROCIO PRADO;PEQUENA;742500;8415000;NO;0;0;20241231
3C0C8E5C30A90B30BB1DF2E7DD80FFDD;2023;1552;ELABORACION DE VINOS;MANUFACTURA;110101;ICA;ICA;ICA;MICRO;0;742500;NO;0;0;20241231
2F7C6A983D9B50A137BB79940ABFE2ED;2023;1552;ELABORACION DE VINOS;MANUFACTURA;110110;ICA;ICA;SAN JUAN BAUTISTA;MICRO;0;742500;NO;0;0;20241231
B0AC904FE78799BF7C5413E44273B8E2;2023;1551;"DESTILACION, RECTIFICACION Y MEZCLA DE BEBIDAS ALCOHOLICAS; PRODUCCION DE ALCOHOL ETILICO A PARTIR DE SUSTANCIAS FERMENTADAS";MANUFACTURA;110501;ICA;PISCO;PISCO;MICRO;0;742500;NO;0;0;20241231
0DD117414DCD42A56CAA2F92EB0C8582;2023;1552;ELABORACION DE VINOS;MANUFACTURA;110113;ICA;ICA;TATE;MICRO;0;742500;NO;0;0;20241231
03F01E1CEE2CA17BB832A5CE51DD8900;2023;1513;ELABORACION Y CONSERVACION DE FRUTAS, LEGUMBRES Y HORTALIZAS;MANUFACTURA;110201;ICA;CHINCHA;CHINCHA ALTA;GRAN EMPRESA;11385000;61875000;SI;2996053;13026316;20241231
E1EE7ACDABFA486F3C2AFF595E3C1836;2023;1552;ELABORACION DE VINOS;MANUFACTURA;110210;ICA;CHINCHA;SUNAMPE;MICRO;0;742500;NO;0;0;20241231
